equipo,#,Jugador,Name,Repeat,Porcentaje,edad,altura,posiciÛn,Club
FRA,15,"Traore, A.",Traore,3,0,24,208,C,"Virtus Roma, Serie A"
FRA,14,"Gelabale, M.",Gelabale,49,0.02,22,201,F,"Cholet Basket, Pro A"
FRA,8,"Mahinmi, I.",Mahinmi,3,0,21,211,F/C,"Dallas Mavericks, NBA"
FRA,5,"Batum, N.",Batum,69,0.03,27,203,SF,"Portland Trail Blazers, NBA"
FRA,9,"Jackson, E.",Jackson,113,0.05,23,190,G,"Asvel, Pro A"
FRA,7,"Koffi, A.",Koffi,6,0,23,207,F/C,"DKV Joventut, ACB"
FRA,6,"Causeur, F.",Causeur,1,0,20,193,G,"Le Havre, Pro A"
FRA,12,"De Colo, N.",Colo,144,0.07,29,196,G,"Valencia, ACB"
FRA,4,"Albicy, A.",Albicy,10,0,31,178,G,"Paris-Levallois Basket, Pro A"
GER,9,"Hamann, S.",Hamann,20,0.01,28,196,PG,"Alba Berlin, BBL"
GER,15,"Jagla, J.",Jagla,34,0.02,26,213,PF/C,"Asseco Prokom, PLK"
GER,10,"Greene, D.",Greene,41,0.02,22,186,G,"Olympia Larissa, A1 Ethniki"
GER,8,"McNaughton, C.",McNaughton,7,0,22,211,C,"BG Gottingen, BBL"
GER,5,"Schaffartzik, H.",Schaffartzik,5,0,22,185,G,"NY Phantoms Braunschweig, BBL"
GER,7,"Ohlbrecht, T.",Ohlbrecht,6,0,21,210,PF/C,"Telekom Baskets Bonn, BBL"
GER,4,"Staiger, L.",Staiger,5,0,21,195,G,"Alba Berlin, BBL"
GER,6,"G¸nther, P.",GÃ¼nther,0,0,21,185,G,"Ratiopharm Ulm, BBL"
GER,14,"Benzing, R.",Benzing,8,0,21,209,F,"Ratiopharm Ulm, BBL"
GER,12,"Harris, E.",Harris,90,0.04,29,201,F,"Gonzaga University, NCAA"
GER,13,"Schwethelm, P.",Schwethelm,0,0,31,201,G/F,"Eisb‰ren Bremerhaven, BBL"
GER,11,"Pleiﬂ, T.",PleiÃŸ,7,0,27,216,C,"Brose Baskets Bamberg, BBL"
GER,9,"Fotsis, A.",Fotsis,6,0,30,209,PF,"Panathinaikos, A1 Ethniki"
GER,12,"Tsartsaris, K.",Tsartsaris,2,0,28,209,C,"Panathinaikos, A1 Ethniki"
GER,6,"Zisis, N.",Zisis,22,0.01,25,197,G,"Montepaschi Siena, Serie A"
GER,13,"Diamantidis, D.",Diamantidis,30,0.01,25,198,G,"Panathinaikos, A1 Ethniki"
GER,7,"Spanoulis, V.",Spanoulis,19,0.01,25,192,PG,"Olympiacos Piraeus, A1 Ethniki"
GER,15,"Schortsanitis, S.",Schortsanitis,19,0.01,27,206,C,"Maccabi Tel Aviv, IBA"
GER,10,"Printezis, G.",Printezis,0,0,26,206,F,"Unicaja Malaga, ACB"
GER,4,"Vougioukas, I.",Vougioukas,0,0,27,211,C,"Panathinaikos, A1 Ethniki"
GER,14,"Kaimakoglou, K.",Kaimakoglou,1,0,24,205,F,"Panathinaikos, A1 Ethniki"
GER,11,"Perperoglou, S.",Perperoglou,0,0,24,203,F,"Panathinaikos, A1 Ethniki"
GER,5,"Bourousis, I.",Bourousis,23,0.01,25,213,C,"Olympiacos, A1 Ethniki"
IRI,11,"Sahakian, O.",Sahakian,0,0,23,196,PF,"Zob Ahan, Super Leaguea"
IRI,5,"Davoudi, A.",Davoudi,0,0,24,178,PG,"Zob Ahan, Super League"
IRI,15,"Haddadi, H.",Haddadi,10,0,28,218,C,"Memphis Grizzlies, NBA"
IRI,14,"Davarpanah, S.",Davarpanah,0,0,29,190,SG,"Kaveh Tehran, Super League"
IRI,13,"Kardoust, A.",Kardoust,0,0,27,210,C,"Azad University, Super League"
IRI,7,"Kamrani, M.",Kamrani,4,0,27,180,G,"Mahram, Super League"
IRI,9,"Zandi, I.",Zandi,0,0,20,188,SG,"Louleh a.s Bond Shiraz, Super League"
IRI,4,"Nabipour, M.",Nabipour,0,0,20,212,C,"Kaveh Tehran, Super League"
IRI,6,"Davari, J.",Davari,2,0,28,186,PG,"Petrochimi, Super League"
IRI,12,"Kazemi, A.",Kazemi,14,0.01,34,201,PF,"Rice University, NCAA"
IRI,10,"Hassanzadeh Saberi A., M.",Hassanzadeh,0,0,29,180,,"Saba Mehr Qazvin, Super League"
IRI,8,"Veisi, S.",Veisi,2,0,27,206,,"Shahrdari Gorgan, Super League
"
JOR,13,"Al-Khas, Z.",Al-Khas,0,0,25,206,C,"Zain, Jordan Premier League"
JOR,5,"Wright, R.",Wright,33,0.02,32,194,G,"Sagesse Beirut, Div A"
JOR,4,"Alnajjar, F.",Alnajjar,0,0,27,192,G,"Zain, Jordan Premier League"
JOR,10,"Daghles, O.",Daghles,0,0,32,199,G,"Zain, Jordan Premier League"
JOR,6,"Abbaas, Z.",Abbaas,5,0,20,203,F,"ASU Sports Club, Jordan Premier League"
JOR,7,"Alawadi, M.",Alawadi,0,0,26,192,G/F,"Zain, Jordan Premier League"
JOR,9,"Soobzokov, E.",Soobzokov,0,0,22,198,G/F,"Zain, Jordan Premier League"
JOR,11,"Al-Sous, W.",Al-Sous,0,0,29,183,G,"ASU Sports Club, Jordan Premier League"
JOR,15,"Adais, A.",Adais,0,0,31,208,C,"Zain, Jordan Premier League"
JOR,14,"Hussein, M.",Hussein,5,0,27,209,C,"Zain, Jordan Premier League"
JOR,8,"Hadrab, M.",Hadrab,0,0,29,201,F,"ASU Sports Club, Jordan Premier League"
JOR,12,"Zaghab, A.",Zaghab,0,0,29,203,C,"Ryadi, Jordan Premier League"
LIB,7,"Fahed, R.",Fahed,2,0,29,185,G,"Club Sagesse, Div A"
LIB,15,"El Khatib, F.",Khatib,52,0.02,27,198,F,"Champville, Div A"
LIB,6,"Mahmoud, A.",Mahmoud,7,0,27,183,G,"Sporting Al Riyadi, Div A"
LIB,14,"Reda, Ghaled",Reda,3,0,22,204,F,"Champville, Div A"
LIB,13,"Freije, M.",Freije,2,0,23,208,F,"Mets de Guaynabo, BSN"
LIB,5,"Vroman, J.",Vroman,1,0,25,209,PF/C,"Mahram, Super League"
